City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Rikitea,PF,70.81,broken clouds,-23.1203,-134.9692,People ThankYou
3,Pritzwalk,DE,64.58,overcast clouds,53.1494,12.1741,Landhotel & Brauhaus Prignitzer Hof
16,Wexford,IE,63.9,overcast clouds,52.3342,-6.4575,Talbot Hotel Wexford
18,Tura,IN,74.7,light rain,25.5198,90.2201,Hotel RIKMAN Continental
20,Puerto Colombia,CO,77.09,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
22,Dingle,PH,74.98,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
26,Lardos,GR,78.94,clear sky,36.0942,28.0157,Lindos Princess Beach Hotel
27,Smila,UA,68.9,scattered clouds,49.2224,31.8871,Kolo Zhyttya
29,Tuktoyaktuk,CA,71.6,few clouds,69.4541,-133.0374,End of The Road Ltd.
33,Bengkulu,ID,73.53,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
34,Puerto Ayora,EC,78.76,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
43,Nouadhibou,MR,75.18,scattered clouds,20.931,-17.0347,El Medina
44,Zheshart,RU,64.26,scattered clouds,62.0731,49.5733,"Gostinitsa, Zao Zhfk"
46,Vaini,TO,75.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
50,Bundaberg,AU,65.21,overcast clouds,-24.85,152.35,Takalvan Motel
52,Svetlogorsk,BY,69.35,scattered clouds,52.6333,29.7333,Hotel Svetlogorsk JBIK
58,Ericeira,PT,70.77,broken clouds,38.9627,-9.4156,HOTEL PEDRO O PESCADOR
60,Izyum,UA,72.9,overcast clouds,49.2088,37.2485,Hotel Terem
66,Baker City,US,78.6,clear sky,44.7749,-117.8344,Bridge Street Inn
67,Serafimovich,RU,73.62,overcast clouds,49.5786,42.736,Donskiye Prostory
70,Ribeira Grande,PT,79.2,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
72,Touros,BR,77.56,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
76,Chitrakonda,IN,73.29,overcast clouds,18.1167,82.0833,Dantunaguda
78,East London,ZA,63.86,clear sky,-33.0153,27.9116,Tu Casa
81,Prince Rupert,CA,60.89,broken clouds,54.3161,-130.3201,Crest Hotel
82,Ariano Irpino,IT,72.45,clear sky,41.1489,15.0833,Hotel Incontro
