City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,-54.8,-68.3,40.66,81,40,11.5,scattered clouds
1,Rikitea,PF,-23.1203,-134.9692,70.81,62,76,21.12,broken clouds
2,Codrington,AU,-38.2667,141.9667,41.83,98,60,6.85,broken clouds
3,Pritzwalk,DE,53.1494,12.1741,64.58,77,100,7.54,overcast clouds
4,Jamestown,US,42.097,-79.2353,80.19,68,0,9.22,clear sky
5,Kapaa,US,22.0752,-159.319,81.12,77,20,5.75,few clouds
6,Sola,VU,-13.8833,167.55,80.65,76,62,18.52,broken clouds
7,Bluff,NZ,-46.6,168.3333,48.45,91,77,6.46,broken clouds
8,Broken Hill,AU,-31.95,141.4333,43.3,84,0,12.68,clear sky
9,Thompson,CA,55.7435,-97.8558,57.36,100,100,13.8,mist
10,Luderitz,NA,-26.6481,15.1594,61.99,63,86,5.08,overcast clouds
11,Khatanga,RU,71.9667,102.5,53.65,88,10,7.14,clear sky
12,Kysyl-Syr,RU,63.8986,122.7617,60.66,98,100,9.08,light rain
13,Misratah,LY,32.3754,15.0925,81.88,67,0,11.83,clear sky
14,Upernavik,GL,72.7868,-56.1549,42.15,93,100,11.1,overcast clouds
15,Mataura,NZ,-46.1927,168.8643,43.07,98,83,3.42,broken clouds
16,Wexford,IE,52.3342,-6.4575,63.9,56,100,1.99,overcast clouds
17,Flin Flon,CA,54.7682,-101.865,57.04,100,100,11.5,mist
18,Tura,IN,25.5198,90.2201,74.7,96,100,3.36,light rain
19,Fukue,JP,32.6881,128.8419,83.05,85,72,12.15,broken clouds
20,Puerto Colombia,CO,10.9878,-74.9547,77.09,77,100,13.4,overcast clouds
21,Busselton,AU,-33.65,115.3333,52.23,78,66,2.82,broken clouds
22,Dingle,PH,10.9995,122.6711,74.98,91,100,3.51,overcast clouds
23,Hobart,AU,-42.8794,147.3294,46.26,94,75,6.91,broken clouds
24,Ixtapa,MX,20.7,-105.2,89.22,62,75,9.22,broken clouds
25,Yulara,AU,-25.2406,130.9889,46.63,41,0,8.16,clear sky
