City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kruisfontein,ZA,2022-08-03 03:52:30,-34.0033,24.7314,56.43,61,8,5.95
1,Hermanus,ZA,2022-08-03 03:52:30,-34.4187,19.2345,50.81,86,12,1.9
2,Lima,PE,2022-08-03 03:52:24,-12.0432,-77.0282,58.89,86,100,18.41
3,Los Llanos De Aridane,ES,2022-08-03 03:52:31,28.6585,-17.9182,67.75,83,75,17.27
4,Rikitea,PF,2022-08-03 03:52:31,-23.1203,-134.9692,72.52,71,57,19.42
5,Kundian,PK,2022-08-03 03:52:31,32.4587,71.4775,87.13,63,94,7.05
6,Marystown,CA,2022-08-03 03:52:32,47.1666,-55.1483,66.85,100,99,8.3
7,Vaini,TO,2022-08-03 03:52:32,-21.2,-175.2,78.96,94,75,11.5
8,Castenaso,IT,2022-08-03 03:52:32,44.5089,11.4698,72.28,78,0,6.91
9,Yulara,AU,2022-08-03 03:52:33,-25.2406,130.9889,71.44,68,100,20.71
10,Hasaki,JP,2022-08-03 03:52:33,35.7333,140.8333,104.29,80,100,9.01
11,Isangel,VU,2022-08-03 03:52:33,-19.55,169.2667,82.51,83,75,2.3
12,Bereznik,RU,2022-08-03 03:52:34,62.8551,42.7072,62.78,85,86,6.2
13,Fortuna,US,2022-08-03 03:52:34,40.5982,-124.1573,61.36,90,100,5.75
14,Arraial Do Cabo,BR,2022-08-03 03:50:42,-22.9661,-42.0278,68.94,89,0,6.64
15,Cayhagan,PH,2022-08-03 03:52:35,9.6697,122.4256,84.51,71,63,4.5
16,Saskylakh,RU,2022-08-03 03:52:35,71.9167,114.0833,47.08,65,100,14.56
17,Clyde River,CA,2022-08-03 03:52:36,70.4692,-68.5914,37.63,100,100,10.36
18,Sitka,US,2022-08-03 03:52:36,57.0531,-135.33,57.09,88,100,4.61
19,Juneau,US,2022-08-03 03:52:36,58.3019,-134.4197,56.84,96,75,8.05
20,Komlo,HU,2022-08-03 03:52:37,46.1928,18.2649,65.64,58,2,3.06
21,Tucurui,BR,2022-08-03 03:52:37,-3.7661,-49.6725,73.92,70,57,2.68
22,Mahebourg,MU,2022-08-03 03:52:37,-20.4081,57.7,68.29,83,40,8.05
23,Cape Town,ZA,2022-08-03 03:48:03,-33.9258,18.4232,57.38,87,40,1.99
24,Saint Anthony,US,2022-08-03 03:52:38,45.0205,-93.218,87.93,74,0,9.22
25,Dubbo,AU,2022-08-03 03:52:39,-32.25,148.6167,71.73,53,3,16.11
26,Ponta Delgada,PT,2022-08-03 03:52:39,37.7333,-25.6667,68.72,83,20,2.3
27,Cefalu,IT,2022-08-03 03:52:39,38.0386,14.0229,80.55,64,0,1.01
28,Atuona,PF,2022-08-03 03:52:03,-9.8,-139.0333,77.36,75,11,14.5
29,Provideniya,RU,2022-08-03 03:51:57,64.3833,-173.3,50.11,87,0,13.42
30,Hobart,AU,2022-08-03 03:52:40,-42.8794,147.3294,60.26,60,89,14.97
31,Lagoa,PT,2022-08-03 03:52:41,39.05,-27.9833,73.92,86,94,15.23
32,Saurimo,AO,2022-08-03 03:52:41,-9.6608,20.3916,68.86,54,62,2.3
33,Ljungby,SE,2022-08-03 03:52:41,56.8332,13.9408,59.41,85,100,8.08
34,Cidreira,BR,2022-08-03 03:52:42,-30.1811,-50.2056,60.69,92,78,12.33
35,Muli,MV,2022-08-03 03:52:42,2.9167,73.5667,81.23,76,75,19.3
36,Banda Aceh,ID,2022-08-03 03:52:42,5.5577,95.3222,84.02,64,100,14.14
37,Shimoda,JP,2022-08-03 03:52:43,34.6667,138.95,97.11,65,51,15.37
38,Ambilobe,MG,2022-08-03 03:52:43,-13.2,49.05,64.87,69,0,3.51
39,Bennettsville,US,2022-08-03 03:52:43,34.6174,-79.6848,81.16,94,0,0.0
40,Aykhal,RU,2022-08-03 03:52:44,66.0,111.5,42.53,97,100,20.29
41,Kapaa,US,2022-08-03 03:52:44,22.0752,-159.319,82.72,70,40,16.11
42,Kahului,US,2022-08-03 03:50:02,20.8947,-156.47,84.22,67,40,21.85
43,Mataura,NZ,2022-08-03 03:52:44,-46.1927,168.8643,44.47,80,68,7.38
44,Cabedelo,BR,2022-08-03 03:52:45,-6.9811,-34.8339,74.07,87,16,4.99
45,Busselton,AU,2022-08-03 03:52:45,-33.65,115.3333,54.99,71,98,31.5
46,Paraiso,CR,2022-08-03 03:52:45,9.8383,-83.8656,67.87,100,100,1.95
47,Barrow,US,2022-08-03 03:52:46,71.2906,-156.7887,50.02,71,0,10.36
48,Lagos,NG,2022-08-03 03:53:46,6.5833,3.75,71.92,85,100,5.5
49,Alice Springs,AU,2022-08-03 03:53:46,-23.7,133.8833,85.55,16,23,24.16
